timestamp, frame, x, y, z, qx, qy, qz, qw
258531.730410375, 000204, -0.3588958, 0.29043528, -0.8515462, 0.9911506, -0.0036731025, -0.13265526, 0.0030844344
258531.747078333, 000205, -0.36434898, 0.29151034, -0.85898376, 0.9913924, -0.004979777, -0.13074704, 0.0046344195
258531.763746541, 000206, -0.3696388, 0.29253083, -0.8663854, 0.9916177, -0.006409131, -0.12892088, 0.005717796
258531.780414333, 000207, -0.37415382, 0.2939536, -0.8728884, 0.99175197, -0.0074563576, -0.12776142, 0.007029126
258531.7970825, 000208, -0.37890396, 0.29485962, -0.8798288, 0.9917861, -0.007966056, -0.12735759, 0.00876974
258531.813750208, 000209, -0.38362274, 0.29551733, -0.88686943, 0.9917707, -0.008161917, -0.12736015, 0.010182382
258531.83041825, 000210, -0.38823497, 0.29604697, -0.89391685, 0.9917204, -0.008209759, -0.12766778, 0.011143651
258531.847086166, 000211, -0.3917973, 0.2965327, -0.89997965, 0.9916638, -0.008162982, -0.12806922, 0.0115973465
258531.863754166, 000212, -0.39586768, 0.2969609, -0.9067152, 0.9916177, -0.008126563, -0.12835172, 0.012417663
258531.880422041, 000213, -0.40005243, 0.2973039, -0.9136724, 0.9915507, -0.008060153, -0.12875769, 0.013551089
258531.897090333, 000214, -0.40422362, 0.29751468, -0.9207339, 0.99146473, -0.007937654, -0.1292261, 0.015338025
258531.913758083, 000215, -0.40835008, 0.29751924, -0.9279125, 0.9913432, -0.007453828, -0.12970252, 0.018980557
258531.930426166, 000216, -0.41237327, 0.29732895, -0.9350891, 0.99124515, -0.0068967515, -0.12988721, 0.022688968
258531.947094, 000217, -0.41624096, 0.2971319, -0.9421353, 0.99125654, -0.006765275, -0.12960292, 0.023827523
258531.963761875, 000218, -0.42003357, 0.29694963, -0.9490587, 0.99136406, -0.00708402, -0.1288875, 0.023130642
258531.98043, 000219, -0.4238459, 0.29662794, -0.95596105, 0.99147236, -0.007340195, -0.1280353, 0.023143288
258531.997097833, 000220, -0.42742598, 0.29620206, -0.9631066, 0.9914991, -0.00729261, -0.12750342, 0.02488266
258532.013765875, 000221, -0.4308287, 0.29571652, -0.9703619, 0.9915436, -0.007270648, -0.12688988, 0.026217718
258532.030434083, 000222, -0.43404877, 0.29524142, -0.9776449, 0.9916559, -0.007506473, -0.12601914, 0.02610215
258532.047101833, 000223, -0.43789098, 0.2950786, -0.98611003, 0.9917397, -0.0077677453, -0.12545899, 0.02553463
258532.063769791, 000224, -0.4410989, 0.29456782, -0.99385744, 0.991748, -0.007846318, -0.125425, 0.025354724
258532.080437791, 000225, -0.4440645, 0.29384106, -1.0014999, 0.99169093, -0.0075066052, -0.12568913, 0.02636238
258532.097106, 000226, -0.4468815, 0.29300386, -1.0091702, 0.9916175, -0.0071485606, -0.1260948, 0.027272094
258532.113773666, 000227, -0.4495404, 0.2921377, -1.0168328, 0.99154943, -0.0071555655, -0.1267235, 0.02682402
258532.130441708, 000228, -0.4520532, 0.29119432, -1.0245229, 0.99145544, -0.0074083256, -0.12765497, 0.025794605
258532.147109583, 000229, -0.45445442, 0.29011554, -1.0323404, 0.99131835, -0.007626895, -0.12874317, 0.025592163
